Date	Open	High	Low	Close	SMAVG (50)  on Close	SMAVG (100)  on Close	SMAVG (200)  on Close	S&P 500 Index - #Ticks	SMAVG (15)
2017-01-27 22:45:00	2295.62	2295.62	2294.01	2294.01	2296.64	2297.37	2293.82	300	300
2017-01-27 22:40:00	2295.39	2296.14	2294.88	2295.65	2296.70	2297.38	2293.74	300	300
2017-01-27 22:35:00	2296.56	2296.97	2295.23	2295.49	2296.74	2297.39	2293.65	300	300
2017-01-27 22:30:00	2299.02	2299.02	2296.43	2296.59	2296.78	2297.40	2293.56	300	300
2017-01-27 05:10:00	2296.68	2296.68	2296.68	2296.68	2296.80	2297.40	2293.47	300	300
2017-01-27 05:05:00	2296.68	2296.68	2296.68	2296.68	2296.80	2297.41	2293.38	300	300
2017-01-27 05:00:00	2296.78	2296.78	2296.67	2296.68	2296.81	2297.42	2293.27	300	300
2017-01-27 04:55:00	2296.81	2297.21	2296.16	2296.68	2296.84	2297.44	2293.17	300	300
2017-01-27 04:50:00	2296.75	2297.29	2295.60	2296.78	2296.86	2297.45	2293.07	300	300
2017-01-27 04:45:00	2295.74	2297.15	2295.74	2296.57	2296.90	2297.46	2292.97	300	300
2017-01-27 04:40:00	2296.94	2296.94	2295.00	2295.67	2296.92	2297.47	2292.86	300	300
2017-01-27 04:35:00	2297.83	2298.04	2296.80	2296.93	2296.96	2297.49	2292.76	300	300
2017-01-27 04:30:00	2297.05	2297.88	2296.82	2297.83	2296.98	2297.49	2292.65	300	300
2017-01-27 04:25:00	2296.59	2297.59	2296.59	2296.97	2296.96	2297.49	2292.54	300	300
2017-01-27 04:20:00	2296.36	2296.57	2296.29	2296.55	2296.96	2297.49	2292.42	300	300
2017-01-27 04:15:00	2296.43	2296.93	2296.27	2296.36	2297.01	2297.49	2292.32	300	300
2017-01-27 04:10:00	2296.46	2296.61	2296.06	2296.45	2297.05	2297.50	2292.20	300	300
2017-01-27 04:05:00	2297.20	2297.45	2296.44	2296.44	2297.08	2297.50	2292.08	300	300
2017-01-27 04:00:00	2297.61	2297.63	2297.04	2297.20	2297.10	2297.49	2291.97	300	300
2017-01-27 03:55:00	2298.20	2298.33	2297.52	2297.63	2297.10	2297.48	2291.84	300	300
2017-01-27 03:50:00	2298.38	2298.40	2297.81	2298.17	2297.11	2297.46	2291.72	300	300
2017-01-27 03:45:00	2298.16	2298.56	2298.05	2298.40	2297.11	2297.44	2291.59	300	300
